Date,High,Low,Open,Close,Volume,Adj Close
05-02-2015,1150200,1043280,1142100,1069200,0,1069200
06-02-2015,1125900,1023030,1069200,1023030,0,1023030
09-02-2015,1093500,997920,1012500,1077300,0,1077300
10-02-2015,1263600,1093500,1158300,1263600,0,1263600
11-02-2015,1458000,1223100,1409400,1263600,0,1263600
12-02-2015,1360800,1206900,1360800,1263600,0,1263600
13-02-2015,1360800,1174500,1263600,1215000,0,1215000
17-02-2015,1328400,1174500,1283850,1180170,0,1180170
18-02-2015,1206900,1093500,1185030,1109700,0,1109700
19-02-2015,1255500,1117800,1117800,1255500,0,1255500
20-02-2015,1433700,1206900,1206900,1231200,0,1231200
23-02-2015,1336500,1279800,1328400,1279800,0,1279800
24-02-2015,1328400,1296000,1296000,1296000,0,1296000
25-02-2015,1360800,1304100,1304100,1328400,0,1328400
26-02-2015,1320300,1174500,1294380,1215000,0,1215000
27-02-2015,1215000,1061100,1215000,1101600,0,1101600
02-03-2015,1190700,1101600,1190700,1138860,0,1138860
03-03-2015,1279800,1117800,1174500,1117800,0,1117800
04-03-2015,1304100,1093500,1304100,1101600,0,1101600
05-03-2015,1160730,1077300,1160730,1125900,0,1125900
06-03-2015,1304100,1077300,1304100,1125900,0,1125900
09-03-2015,1231200,1053000,1231200,1053000,0,1053000
10-03-2015,1166400,1012500,1028700,1085400,0,1085400
11-03-2015,1101600,1012500,1101600,1036800,0,1036800
12-03-2015,1028700,1004400,1027080,1012500,0,1012500
13-03-2015,1028700,874800,1028700,972000,0,972000
16-03-2015,1044900,915300,1028700,972000,0,972000
17-03-2015,972000,939600,972000,963900,0,963900
18-03-2015,1279800,899100,963900,1142100,0,1142100
19-03-2015,1093500,972000,1036800,972000,0,972000
20-03-2015,1012500,899100,1004400,996300,0,996300
23-03-2015,1020600,947700,1012500,1020600,0,1020600
24-03-2015,1006020,907200,948510,972000,0,972000
25-03-2015,1012500,929880,931500,955800,0,955800
26-03-2015,976050,866700,976050,923400,0,923400
27-03-2015,965520,874800,965520,907200,0,907200
30-03-2015,963900,891000,891000,923400,0,923400
31-03-2015,955800,891000,955800,899100,0,899100
01-04-2015,963900,858600,858600,931500,0,931500
02-04-2015,996300,931500,955800,972000,0,972000
06-04-2015,1004400,947700,1004400,980100,0,980100
07-04-2015,1903500,1134000,1271700,1498500,0,1498500
08-04-2015,1498500,1263600,1458000,1328400,0,1328400
09-04-2015,1368900,1231200,1336500,1255500,0,1255500
10-04-2015,1304100,1190700,1279800,1231200,0,1231200
13-04-2015,1927800,1231200,1247400,1919700,0,1919700
14-04-2015,2114100,1676700,1919700,1863000,0,1863000
15-04-2015,1960200,1741500,1919700,1854900,0,1854900
16-04-2015,2251800,1782000,1822500,1863000,0,1863000
17-04-2015,2025000,1782000,1798200,1879200,0,1879200
20-04-2015,1968300,1790100,1879200,1854900,0,1854900
21-04-2015,1862190,1684800,1854900,1730160,0,1730160
22-04-2015,1709100,1603800,1709100,1692900,0,1692900
23-04-2015,2486700,1822500,1927800,1895400,0,1895400
24-04-2015,1984500,1798200,1871100,1822500,0,1822500
27-04-2015,1879200,1741500,1822500,1798200,0,1798200
